rsi,cycle,band,atr,obv,accdist,label
58.09,0.1056,197.7066,0.2649,483342,410133.66,true
60.34,0.0761,197.6721,0.262,653072,482691.9,true
61.61,-0.0093,197.6558,0.2567,645789,555647.56,true
64.09,0.0657,197.6209,0.2517,629578,604345.9,false
55.03,0.0678,98.7028,0.1722,4732908,4481307.5,false
55.3,0.0428,362.4448,0.3259,363392,289463.44,true
64.37,0.0197,197.7119,0.2186,-25257,496131.16,true
65.82,0.118,362.2856,0.3138,265344,254762.67,false
65.63,0.1531,197.7734,0.2176,-5378,512586.22,false
67.87,0.1725,362.2284,0.3087,338743,280916.88,false
66.94,0.1589,197.7972,0.2136,248611,648019.1,false
68.86,0.1333,362.1955,0.3097,379517,293752.78,false
63.27,0.2708,362.5812,0.3408,378012,343923.06,false
65.63,0.2897,362.6055,0.3309,428956,392354.88,false
66.04,0.1852,362.6855,0.3308,421174,366647.75,false
68.19,0.0376,198.3168,0.2172,578785,636324.7,false
71.7,0.1553,362.6494,0.3628,463101,383824.72,false
53.6,0.0371,98.4264,0.1492,-2334301,656937.1,true
54.66,0.0017,98.4364,0.1446,-1411953,1618202.9,true
66.23,-0.0423,363.2473,0.355,252038,204228.94,false
57.09,0.0182,98.4332,0.1432,-1213726,1292267.4,true
63.48,0.0715,198.6752,0.2054,250986,379905,false
67.06,0.0714,98.3634,0.1489,208172,2442023.8,false
69.79,0.1139,98.3067,0.1498,1302323,3127976.5,false
72.64,0.1084,98.2483,0.1521,1578957,3682234,false
58.71,0.1824,198.9725,0.2295,264312,460961.03,false
61.74,0.1774,198.9712,0.2289,325259,489684.12,false
55.04,0.1424,364.1414,0.2799,258869,34422.78,false
51.58,0.0792,98.7702,0.1565,-2856133,3078309.2,false
55.55,0.1596,364.1442,0.2502,261642,22850.64,false
53.77,0.0825,363.7673,0.2627,35503,32071.87,true
49.3,0.0982,197.8062,0.1998,-164448,-33908.76,false
60.19,0.2148,363.7581,0.2643,88841,77452.65,true
56.6,0.0652,197.9184,0.252,-155455,-178656.16,true
67.37,0.0604,363.6806,0.3306,52927,36472.08,true
72.47,0.2364,197.6869,0.2934,-59591,-37283.62,true
76.13,0.3246,363.4584,0.3778,58943,63406.08,true
55.72,0.0542,98.469,0.1858,-3674,3133207,true
78.34,0.4616,197.4364,0.3259,206654,123404.81,false
83.93,0.6386,363.0192,0.4485,73696,79153.27,false
65.12,0.2083,98.3991,0.1969,786932,3950492.5,true
66.62,0.2546,98.3378,0.2037,1501029,3844262.8,false
66.07,0.0384,197.9496,0.4055,5314,39077.29,true
66.59,0.0178,98.4249,0.216,2248796,2433122,false
68.26,0.1205,198.0837,0.377,348456,82677.71,true
67.61,0.0715,364.6017,0.4146,33310,65651.79,false
68.65,-0.0076,98.5823,0.1666,4774857,3575667.2,false
69.89,0.1356,366.2134,0.3272,74248,99102.93,false
70.25,0.0995,199.089,0.2627,788282,518481.22,true
65.96,0.0454,99.1324,0.1471,6027915,2561087,false
73.64,0.1348,199.0915,0.2627,882050,668440.7,true
73.17,0.1013,366.1468,0.3103,81405,108176.39,false
75.4,0.1621,199.1066,0.2591,919863,708286,true
75.03,0.0975,366.0866,0.3003,104898,120021.75,false
76.38,0.1145,199.1939,0.2541,1146010,899571.3,true
76.01,0.0838,366.0692,0.3005,137850,151830.06,false
79.39,0.0763,199.1901,0.262,1275734,1092153.4,false
79.94,0.07,199.2264,0.2548,1478438,1189193,false
81.76,0.0403,199.2199,0.2663,1670261,1220965.9,false
67.9,-0.0174,99.2734,0.1478,8823573,3146873.2,false
58.22,0.1217,200.3994,0.2597,1402258,1403315.6,false
60.03,0.1513,366.9028,0.29,174646,145674.73,false
53.64,0.0449,99.0808,0.1349,2543307,670692.5,false
62.27,0.02,366.5732,0.3069,92068,154297.53,false
60.76,-0.0087,99.0476,0.1297,1450363,832553.06,false
40.58,0.1507,97.8558,0.2484,-6209884,-1085859.5,false
50.32,0.1376,198.3209,0.515,-13343,-100111.82,false
47.33,0.2686,363.1274,0.6075,96485,39901.23,false
51.35,0.0883,97.9478,0.2466,-3685022,408919.8,false
45.97,0.144,198.1001,0.2644,-234221,-239879.7,false
48.59,0.2985,362.8805,0.3844,88869,30327.68,false
42.97,0.141,97.528,0.1615,-4051677,57503.86,true
48.9,0.0512,97.5787,0.1608,-3831001,-458229.06,true
53.46,0.1547,198.0856,0.2517,-382171,-200596.64,true
56.05,0.1608,362.842,0.3882,72453,26473.74,true
55.57,0.0908,97.581,0.1605,-3325314,51385.7,true
56.93,0.1941,198.0741,0.2504,-297231,-154052.47,true
59.27,0.2953,362.7988,0.3846,73667,26919.24,true
59.6,0.1822,198.0239,0.2454,-273774,-101171.79,true
63.78,0.3309,362.6894,0.3714,91999,39347.47,true
60.1,0.073,97.5684,0.1498,-2504814,439303,true
60.63,0.1196,197.9792,0.2404,-159386,-35273.08,true
64.69,0.2474,362.5963,0.3703,112360,41983.33,true
63.23,0.0385,198.0584,0.2337,279062,227738.64,false
66.69,-0.0292,362.8271,0.3659,179766,79281.94,true
67.47,0.0938,198.6588,0.2078,195286,40035.4,true
71.85,0.0491,363.88,0.3089,278059,46927.8,true
61.39,0.0485,98.0206,0.1151,1905963,1409108.1,true
70.92,0.1428,198.7391,0.2027,289134,126091.66,true
63.57,0.0679,98.0562,0.1072,2600905,1976254.5,true
73.51,0.1494,198.7463,0.2051,395149,131925.05,false
76.32,0.1623,364.2505,0.2982,336909,79272.71,true
67.68,0.0707,98.0359,0.1079,3840288,1846371.6,false
70.45,0.0239,98.1518,0.1046,1336355,606942.2,false
71.24,0.0885,365.4267,0.2328,231836,50226.05,false
63.29,0.0134,98.409,0.1057,2383316,1246735.6,false
69.76,0.021,199.7748,0.1459,481978,74956.53,false
76.83,0.0512,365.4043,0.2281,247106,69770.96,false
64.37,0.0275,98.4088,0.1043,2855878,1494119.1,false
69.52,-0.0197,199.7755,0.1706,487389,115460.29,false
74.88,-0.0221,365.5082,0.2724,232001,57669.84,false
50.85,0.1093,97.3498,0.191,-1307289,-448636.12,true
51.5,0.215,197.9959,0.2303,-720446,-272676.56,true
56.72,0.2549,364.2607,0.341,-300677,-49281.92,true
58.01,0.2804,97.3339,0.2257,290175,-676253.5,true
55.32,0.2918,197.995,0.2368,-659394,-284647.88,true
62.4,0.3421,364.1771,0.3602,-286498,-44488.55,true
65.72,0.3341,364.069,0.3624,-257526,-45756.12,true
63.33,0.126,197.9595,0.2578,-632221,-238009.88,false
71.62,0.2996,363.8771,0.3831,-244465,-27676.84,false
65.71,0.0414,197.8601,0.2702,-656297,-265350.84,false
74.58,-0.0895,363.7535,0.3869,-165727,-6549.03,false
66.52,0.0619,97.2698,0.2451,122552,-1528935.4,true
65.36,0.2334,197.9608,0.3393,-514986,-322463.6,false
69.32,0.074,97.3197,0.2083,264922,-1303965.6,false
71.28,0.0863,97.3527,0.2019,1519211,-455771.84,false
74.23,0.0962,97.4306,0.204,2743577,596751,false
0,0,0,0,0,0,false
0,0,0,0,0,0,true
0,0,0,0,0,0,false
0,0,0,0,0,0,true
0,-260.9436,0,0,0,0,false
0,-141.3218,0,0,0,0,false
0,-258.4064,0,0,0,0,false
59.68,-25.8497,0,1.3166,0,0,true
59.84,-18.2478,0,1.3012,0,0,false
51.24,-1.8524,205.0203,0.8497,0,0,false
60.31,-3.173,376.3318,1.0083,0,0,false
51.55,0.1851,206.0447,0.5735,0,0,false
44.99,0.163,102.8614,0.342,0,0,false
46.31,0.0923,102.6778,0.4059,0,0,true
46.83,0.0816,102.7725,0.382,0,0,false
50.79,0.1772,205.765,0.5656,0,0,false
59.21,0.1502,377.7347,0.7519,0,0,false
47.77,0.0729,102.7865,0.3806,0,0,false
51.66,0.2694,205.7798,0.5649,0,0,false
59.43,0.1772,377.7252,0.7498,0,0,false
48.9,0.1099,102.7249,0.3886,0,0,false
53.77,0.1935,205.602,0.4395,0,0,false
57.85,0.5194,376.7857,0.6056,0,0,true
49.44,0.1164,103.0102,0.2719,0,0,true
50.51,0.2156,103.0319,0.2754,0,0,true
51.61,0.1923,103.0691,0.2704,0,0,true
59.64,0.1934,376.7778,0.6311,0,0,false
52.75,0.1259,103.0737,0.2654,0,0,true
53.7,-0.0173,103.1038,0.2733,0,0,true
56.29,-0.0333,103.0675,0.2565,-2795162,4653714.5,false
55.29,0.0216,205.6036,0.3728,1014438,810374,true
58.03,0.0905,205.5593,0.3649,889721,918281.06,false
60.02,0.053,376.7884,0.6173,132303,396184.16,false
57.63,0.0168,103.0116,0.2431,-5673247,2897426.8,false
60.27,0.1009,205.5204,0.3495,874004,1150453.2,false
