rsi,cycle,band,atr,obv,accdist,label
39.58,-0.006,95.082,0.1173,-3716698,131613.42,false
48.35,-0.0471,358.1438,0.2353,-47950,119833.09,false
42.35,-0.1966,358.1405,0.2352,-52320,117513.3,false
34.58,-0.0855,95.1814,0.1145,-3706028,217654.48,true
44.99,-0.0029,95.2445,0.1344,-1713540,670555.9,false
46.34,-0.1235,358.3278,0.2492,-61215,107453.75,false
40.66,-0.1792,358.2854,0.2584,-74589,90713.33,false
44,-0.0739,95.2401,0.1359,-2100048,398900.56,false
41.32,-0.0431,358.2206,0.2791,-94517,77785.8,false
39.25,-0.023,95.2197,0.1374,-2353898,321916.72,false
37.18,-0.0425,95.193,0.1291,-2428830,56224.06,true
49.66,-0.0935,190.4816,0.1734,-596895,-148662.3,false
32.78,-0.056,95.1398,0.1262,-3329770,-605427.6,true
45.66,-0.0169,190.4654,0.165,-555313,-55492.12,false
40.28,-0.0882,190.4131,0.1728,-567021,-86499.73,true
37.77,-0.0462,358.0236,0.2452,-219857,19069.99,false
36.74,0.0073,95.0462,0.133,-4441655,-1849279.8,true
39.89,0.0149,357.9462,0.2383,-225175,14498.35,false
37.1,-0.0097,357.8724,0.2393,-224631,20745.22,false
34.5,-0.0682,357.7887,0.2314,-224811,30005.18,false
32.96,-0.0764,357.6912,0.2243,-226836,26441.89,false
40.32,-0.0441,190.3149,0.1807,-518499,-16010.58,true
31.02,-0.0585,357.584,0.2221,-253395,22979.29,false
37.72,-0.0193,94.9776,0.1132,-3460758,-1062762.5,true
49.04,0.0078,190.3064,0.1833,-457220,17176.86,false
35.57,0.0968,357.5178,0.2493,-228346,51473.96,false
34.79,-0.0452,357.4214,0.2552,-241295,44261.1,false
44.9,-0.0339,95.0756,0.1043,-1661559,87942.8,true
49.01,0.0131,190.3164,0.1598,-260903,139960.89,false
33.2,0.0358,357.2066,0.2531,-234230,44702.43,false
44.33,-0.0366,190.3146,0.1545,-316249,72001.48,true
